Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0628/013,Pacific Professional Building,2140 WEBSTER ST,94115,"2140 WEBSTER ST
San Francisco, CA 94115
(37.790479, -122.432501)",263062,Medical Office,http://propertymap.sfplanning.org/?&search=0628/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Pending,74,60.3,171,-30.3,-30.3,704.3,4.9,62,172.9,72,62.1,177.1,-28.5,-28.5,687.4,4.8,62.7,176.8,73,61.3,175.6,-28.9,-28.9,680.3,4.8,64,178.4,72,64.3,180.8,-28.8,-28.8,707.3,5,63.7,181,81,65.4,193.7,-35.9,,789.71,,64.9,193.1,80,67.7,,-35,,812.01,,66.6,
0196/019,451 JACKSON ST,451 JACKSON ST,94111,"451 JACKSON ST
San Francisco, CA 94111
(37.796513, -122.402784)",13500,,http://propertymap.sfplanning.org/?&search=0196/019,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0316/018A,Curran Theater,445 GEARY ST,94102,"445 GEARY ST
San Francisco, CA 94102
(37.787053, -122.410628)",29641,,http://propertymap.sfplanning.org/?&search=0316/018A,Exempt,,Exempt,Exempt - New Construction,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,16.1,47.1,-44.6,-44.6,38.1,1.3,16.1,47.1,,6944.8,8414.4,9786.8,9786.8,13682,461.6,6944.8,8414.4,,9196.9,11128.3,19893.2,,21522.1,,9196.9,11128.3,,,,,,,,,
0206/008,500 Sansome,500 SANSOME ST,94111,"500 SANSOME ST
San Francisco, CA 94111
(37.795069, -122.401553)",155817,Office,http://propertymap.sfplanning.org/?&search=0206/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,2014-04-01T00:00:00,Pending,,,90,58.5,138.7,-44.7,-44.7,677.7,4.3,60.3,139.2,90,52.6,128.6,-45.7,-45.7,590.6,3.8,53.4,129.5,100,27.9,56,-75.7,-75.7,287.5,1.8,32.2,60.4,98,39.3,90.4,-61.4,-61.4,452.6,2.9,39.7,90.7,,37.8,92.7,-44.4,,434.01,,38.2,93.1,,,,,,,,,
3706/068,748 MISSION ST,748 MISSION ST,94103,"748 MISSION ST
San Francisco, CA 94103
(37.785267, -122.403312)",29440,,http://propertymap.sfplanning.org/?&search=3706/068,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/018,185 Post Street,185 POST ST,94108,"185 POST ST
San Francisco, CA 94108
(37.788726, -122.405)",28722,Office,http://propertymap.sfplanning.org/?&search=0310/018,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Pending,,,98,31.8,61,-63.4,-63.4,61.2,2.1,31.4,60,99,22,54.1,-68.2,-68.2,45.6,1.6,22.7,54.6,39,68.5,188.1,12.4,12.4,149.9,5.2,70.4,190.1,40,70.1,191.1,11.4,11.4,152.8,5.3,70.2,191.3,59,66.5,176.3,-10.8,,151.97,,66.5,176.3,,,,,,,,,
0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
San Francisco, CA 94109
(37.807088, -122.418926)",133675,Office,http://propertymap.sfplanning.org/?&search=0010/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,75,68.2,149.7,-26.3,-26.3,652.4,4.9,71.5,153.2,72,72,153.9,-23,-23,653.2,4.9,73.7,155.6,56,73.4,158.5,-6.5,-6.5,668.9,5,77.1,162.4,74,81.3,166.9,-26.2,-26.2,786.5,5.7,81.6,167.2,81,71,149.9,-34.5,,696.4,,70.7,149.7,,,,,,,,,
0164/011,470 PACIFIC AVE,470 PACIFIC AVE,94133,"470 PACIFIC AVE
San Francisco, CA 94133
(37.797349, -122.403336)",18206,Restaurant,http://propertymap.sfplanning.org/?&search=0164/011,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,333.1,600.1,387.4,387.4,371.6,20.4,340.6,607.9,,336.4,640.4,332.6,332.6,373.4,21.8,336.4,640.4,,306.6,573.1,287.1,287.1,337.9,19.7,306.6,573.1,,349.6,609.3,311.6,311.6,374.9,21.9,348.8,605.9,,,,,,,,,,,,,,,,,,
0239/030,343 Sansome,343 Sansome St,94104,"343 Sansome St
San Francisco, CA 94104
(37.793686, -122.401278)",316366,Office,http://propertymap.sfplanning.org/?&search=0239/030,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,98,35.6,111.9,-59.9,-59.9,841.3,3.1,35.6,111.9,97,36.6,115.1,-59.3,-59.3,812.7,3,36.6,115.1,94,39.2,123,-51.9,-51.9,869.1,3.2,39.2,123,90,47.5,149.1,-44.5,-44.5,1053.3,3.9,47.5,149.1,91,46.6,146.3,-45.6,-45.6,1033.6,3.8,46.6,146.3,,,,,,,,,
3548/031,Walden House,1885 MISSION ST,94103,"1885 MISSION ST
San Francisco, CA 94103
(37.766848, -122.419839)",25543,,http://propertymap.sfplanning.org/?&search=3548/031,Exempt,,Exempt,Exempt - Vacant,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,100,18.1,45.5,-73,-73,33.8,1.3,18.1,45.5,98,24.8,57.9,-64.7,-64.7,47.1,1.8,23.5,56.5,98,27.3,59.4,-63.8,,50.1,,26.3,58.3,,,,,,,,,
0690/001A,1233 VAN NESS AVE,1233 VAN NESS AVE,94109,"1233 VAN NESS AVE
San Francisco, CA 94109
(37.787222, -122.421773)",18710,Medical Office,http://propertymap.sfplanning.org/?&search=0690/001A,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,70.1,168.6,36.9,36.9,98.3,5.3,72.2,170.6,,72.6,172.4,40,40,96.6,5.2,72.9,172.7,,53.2,115.9,-5.9,-5.9,68.1,3.6,53.3,114.9,,54.1,117,-5,-5,69.1,3.7,54.2,117,,,,,,,,,,,,,,,,,,
3703/061,Aida Hotel,1083 MARKET ST,94103,"1083 MARKET ST
San Francisco, CA 94103
(37.780869, -122.412039)",54882,Hotel,http://propertymap.sfplanning.org/?&search=3703/061,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,97,47.6,59.6,-51.9,-51.9,147.2,2.7,49.4,61.5,97,46.8,58.5,-52.3,-52.3,143.4,2.6,50.1,61.9,96,46.9,59.2,-49.8,-49.8,144.1,2.6,54.7,67.5,96,53.6,66.2,-49.2,-49.2,165.2,3,48.9,61.2,89,62.1,84.1,-38.1,,198.1,,70.4,92.8,92,57.4,,,-41.3,185.9,,50.1,
3550/001B,1820 HARRISON ST,1818 HARRISON ST,94103,"1818 HARRISON ST
San Francisco, CA 94103
(37.768237, -122.4134)",18360,,http://propertymap.sfplanning.org/?&search=3550/001B,Exempt,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2017-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542/042,3855 GEARY BLVD,3855 GEARY BLVD,94118,"3855 GEARY BLVD
San Francisco, CA 94118
(37.781122, -122.460752)",21500,Retail Store,http://propertymap.sfplanning.org/?&search=1542/042,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,100,18.3,36.5,-79.4,-79.4,26.9,1.2,21.7,40,99,22.4,41.6,-76.4,-76.4,30.9,1.4,24.6,43.8,99,20.6,41.7,-75.7,-75.7,29.4,1.4,20.6,41.7,99,26.7,48.9,-73.4,-73.4,36.6,1.7,23.6,45.7,,,,,,,,,,,,,,,,,,
7521/002,Diamond Heights Shopping Center - Bldg A - Safeway,5290 Diamond Heights Blvd,94131,"5290 Diamond Heights Blvd
San Francisco, CA 94131
(37.743846, -122.438211)",35853,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=7521/002,Complied,,Complied,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,2013-04-01T00:00:00,Complied,,,8,224.3,677.1,40.4,40.4,682,19,224.3,677.1,9,227.4,664.2,38.1,38.1,640.5,17.9,227,536.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533/007,San Francisco Friends School,250 VALENCIA ST,94103,"250 VALENCIA ST
San Francisco, CA 94103
(37.769042, -122.422296)",71874,K-12 School,http://propertymap.sfplanning.org/?&search=3533/007,Complied,,Complied,,Complied,,Exempt,Exempt - New Construction,Complied,,Complied,,Violation - Did Not Report,,2015-04-01T00:00:00,Complied,,,100,19.3,42.8,-67.2,-67.2,99.7,1.4,19.9,43.4,100,20.4,47.8,-64.7,-64.7,103.6,1.4,21.2,48.7,99,24.6,56.7,-58.6,-58.6,124,1.7,27.2,59.4,,24.4,54.5,-61.5,-61.5,121.4,1.7,23.2,53.2,,21.8,51.9,-62.4,,117.62,,19.1,46.9,,23.3,,-62.1,,124.65,,23.3,
0351/051,Art Institute of California,1170 MARKET ST,94102,"1170 MARKET ST
San Francisco, CA 94102
(37.779283, -122.414039)",43060,College/University,http://propertymap.sfplanning.org/?&search=0351/051,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,97.1,193.6,-26.3,-26.3,285.6,6.6,96.6,191.9,,105.4,220.9,-15.9,-15.9,305.5,7.1,105.4,220.9,,126.8,268.8,2.4,2.4,369.4,8.6,128.2,265.7,,126.6,272.5,3.9,3.8,389.5,9,122.7,268.5,,68.5,88.4,-34.1,,168.72,,65.7,85.5,,,,,,,,,
0165/022,717 BATTERY ST,717 BATTERY ST,94111,"717 BATTERY ST
San Francisco, CA 94111
(37.79793, -122.400928)",32667,,http://propertymap.sfplanning.org/?&search=0165/022,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2021-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101/031,721 Filbert Street Garage,721 FILBERT ST,94133,"721 FILBERT ST
San Francisco, CA 94133
(37.80109, -122.411718)",23836,Office,http://propertymap.sfplanning.org/?&search=0101/031,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,,73.3,230.3,,,9.2,5.6,,21.5,,52.1,163.6,,,7,4.2,52.9,166.1,,55.1,172.9,,,7.4,4.5,57.8,181.4,,64.2,201.7,,,9.3,5.6,64.4,202.1,,,,,,,,,,,,,,,,,,
0676/033,1800 SUTTER ST,1800 SUTTER ST,94115,"1800 SUTTER ST
San Francisco, CA 94115
(37.786477, -122.43026)",83780,Hotel,http://propertymap.sfplanning.org/?&search=0676/033,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,2012-11-15T00:00:00,Complied,,,84,80.6,145.6,-30.9,-30.9,377.8,5.3,81.3,146.4,83,83.2,148,-29.7,-29.7,387.3,5.4,83.2,148,,,,,,,,,,62,91.4,157.7,-11.1,-11.1,408.9,5.7,91.8,159,61,93.3,159.5,-10.2,-10.2,415.8,5.8,94.2,162.3,,,,,,,,,
3504/044,1661 MARKET ST,1661 MARKET ST,94103,"1661 MARKET ST
San Francisco, CA 94103
(37.773177, -122.421604)",33000,Office,http://propertymap.sfplanning.org/?&search=3504/044,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,94,32.9,88.2,-48.1,-48.1,60.1,2.6,35.8,91.3,96,30.5,83.4,,,53.3,2.3,31.5,84.4,96,30.2,84.1,-50.8,-50.8,53.3,2.3,30.2,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0173/005,607 FRONT ST,607 FRONT ST,94111,"607 FRONT ST
San Francisco, CA 94111
(37.797239, -122.399558)",15763,Office,http://propertymap.sfplanning.org/?&search=0173/005,Complied,,Complied,,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2018-04-01T00:00:00,Upcoming,,,73,43.7,91,-24.8,-24.8,48.1,3,51.7,99.3,73,43.3,93.5,-24.8,-24.8,46.5,3,46.6,97.1,68,44.7,97.7,-19.7,-19.7,48.3,3.1,54,107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547/001,SF Armory,1800 MISSION ST,94103,"1800 MISSION ST
San Francisco, CA 94103
(37.767878, -122.419942)",200000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3547/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,100,13.4,36.5,-76.6,-76.6,214.5,1.1,13.5,36.8,100,14.3,38.6,-75.4,-75.4,215.7,1.1,14.3,38.6,100,16.2,44,-72,-72,245.3,1.2,16.3,44.1,,16.9,46.1,-45.8,-45.8,504.3,2.5,16.6,45.4,,15.5,45.4,-66.3,,493.4,,15.4,45.3,,14.3,,-54.1,,468.79,,14.3,
0242/056,601 GRANT AVE,601 GRANT AVE,94108,"601 GRANT AVE
San Francisco, CA 94108
(37.792822, -122.406009)",19108,,http://propertymap.sfplanning.org/?&search=0242/056,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539/003,4141 GEARY BLVD,4141 GEARY BLVD,94118,"4141 GEARY BLVD
San Francisco, CA 94118
(37.780984, -122.463719)",290568,,http://propertymap.sfplanning.org/?&search=1539/003,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2012-11-15T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,37,132.7,245.9,15.9,15.9,2468.8,8.5,140.9,254.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
0088/020,Maybeck Building,1736 STOCKTON ST,94133,"1736 STOCKTON ST
San Francisco, CA 94133
(37.801902, -122.409477)",14384,Office,http://propertymap.sfplanning.org/?&search=0088/020,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,75,64.7,98.1,-26.1,-26.1,56.4,3.9,71.1,104.8,85,56.2,85.1,-37.7,-37.7,48,3.3,59.9,89,88,54.8,87.5,-42.1,-42.1,47.7,3.3,60.7,93.8,84,62.9,97.5,-37.5,-37.5,55.6,3.9,63.3,97.9,,,,,,,,,,,,,,,,,,
3704/068,989 Market Street,979 MARKET ST,94103,"979 MARKET ST
San Francisco, CA 94103
(37.782559, -122.409892)",112372,Office,http://propertymap.sfplanning.org/?&search=3704/068,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Exempt,,2014-04-01T00:00:00,Complied,,,84,69.3,176.1,-37,-37,600.4,5.3,69.8,176.6,77,80,198.5,,,643,5.8,80,198.5,,,,,,,,,,,,,,,,,,,88,52.6,127.7,-43,,448.7,,55.9,138.2,,,,,,,,,
0297/014,"625 Sutter Street, LLC",625 SUTTER ST,94102,"625 SUTTER ST
San Francisco, CA 94102
(37.788967, -122.410718)",26322,College/University,http://propertymap.sfplanning.org/?&search=0297/014,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,29.1,63.3,-75.9,-75.9,58.2,2.2,29.1,63.3,,47.5,86.8,-66.9,-66.9,88.6,3.4,47.5,86.8,,17.4,50,-81,-81,35.6,1.4,17.4,50,,18.5,52.1,-80.2,-80.2,40.2,1.5,18.5,52.1,,24.4,74.2,-76.6,,55.17,,24.4,74.2,,,,,,,,,
3554/007,3000 16th Street,3000 16TH ST,94103,"3000 16TH ST
San Francisco, CA 94103
(37.76503, -122.419926)",17810,,http://propertymap.sfplanning.org/?&search=3554/007,Exempt,,Exempt,Exempt - Vacant,Exempt,Exempt - Tenant Turnover,Exempt,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3560/013,2276-2282 Market St,2276-2282 Market St,94114,"2276 2282 Market St
San Francisco, CA 94114
(37.764673, -122.432634)",24989,Retail Store,http://propertymap.sfplanning.org/?&search=3560/013,Exempt,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,65,33.6,104.9,-18.5,-18.5,68.2,2.7,33.6,104.9,73,28.9,90.6,-27.6,-27.6,58.9,2.4,28.9,90.6,100,6.2,19.3,-85.8,-85.8,12.6,0.5,6.2,19.3,,,,,,,,,,,,,,,,,,
0296/013D,533 SUTTER ST,533 SUTTER ST,94102,"533 SUTTER ST
San Francisco, CA 94102
(37.789178, -122.409117)",12840,Performing Arts,http://propertymap.sfplanning.org/?&search=0296/013D,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,63.3,198.8,133.6,133.6,70.5,5.5,63,197.8,,64.3,202,,,67.4,5.2,63.6,199.7,,64.4,202.1,,,67.4,5.2,62.6,196.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3590/035,2205 MISSION ST,2205 MISSION ST,94110,"2205 MISSION ST
San Francisco, CA 94110
(37.761644, -122.419338)",18345,,http://propertymap.sfplanning.org/?&search=3590/035,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2019-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212/023,352 OCEAN AVE,352 OCEAN AVE,94112,"352 OCEAN AVE
San Francisco, CA 94112
(37.723015, -122.443812)",12402,,http://propertymap.sfplanning.org/?&search=3212/023,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0452/002,900 North Point St.,900 North Point St.,94109,"900 North Point St
San Francisco, CA 94109
(37.805393, -122.422944)",101074,Other - Mall,http://propertymap.sfplanning.org/?&search=0452/002,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,,Exempt,,2015-04-01T00:00:00,Pending,,,,210.2,437,83.9,83.9,1480.7,14.6,213.3,440.2,,36.4,113.4,-52.3,-52.3,298.8,3,36.5,113.5,,51.3,160.4,-32.5,-32.5,422,4.2,49.2,153.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
0288/014,240 KEARNY ST,240 KEARNY ST,94108,"240 KEARNY ST
San Francisco, CA 94108
(37.790368, -122.403963)",16630,,http://propertymap.sfplanning.org/?&search=0288/014,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514/039,170 SOUTH VAN NESS AVE,170 SOUTH VAN NESS AVE,94103,"170 SOUTH VAN NESS AVE
San Francisco, CA 94103
(37.77068, -122.417946)",21247,Wholesale Club/Supercenter,http://propertymap.sfplanning.org/?&search=3514/039,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Pending,,,3,109.5,335,129.1,129.1,198.8,9.4,109.5,335,3,111,331.3,,,187.3,8.8,112.3,332.7,5,99.1,298.6,,,168,7.9,99.1,298.6,7,101.1,299.8,,,170,8,101.1,299.8,,,,,,,,,,,,,,,,,,
0292/016,127 SUTTER ST,127 SUTTER ST,94104,"127 SUTTER ST
San Francisco, CA 94104
(37.789961, -122.40284)",26436,,http://propertymap.sfplanning.org/?&search=0292/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0294/005,231 GRANT AVE,231 GRANT AVE,94108,"231 GRANT AVE
San Francisco, CA 94108
(37.789188, -122.40532)",13000,,http://propertymap.sfplanning.org/?&search=0294/005,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Complied,,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0224/001,865 STOCKTON ST,865 STOCKTON ST,94108,"865 STOCKTON ST
San Francisco, CA 94108
(37.793937, -122.407882)",13136,Worship Facility,http://propertymap.sfplanning.org/?&search=0224/001,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,76,15,39.4,-29.4,-29.4,13.7,1.1,15,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0739/002,700 EDDY ST,700 EDDY ST,94109,"700 EDDY ST
San Francisco, CA 94109
(37.783065, -122.419456)",17216,,http://propertymap.sfplanning.org/?&search=0739/002,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
